Dataset,Implementation,Variant,loss,optim,constrained_embedding,embedding,final_act,layers,batch_size,dropout_p_embed,dropout_p_hidden,learning_rate,momentum,n_sample,sample_alpha,bpreg,logq,Recall@1,MRR@1,Recall@5,MRR@5,Recall@10,MRR@10,Recall@20,MRR@20,Avg. epoch time (s),Avg. e/s,Avg. mb/s,Recall@1 Diff,MRR@1 Diff,Recall@5 Diff,MRR@5 Diff,Recall@10 Diff,MRR@10 Diff,Recall@20 Diff,MRR@20 Diff
Rees46,GRU4Rec Official,Best params,bpr-max,adagrad,TRUE,0,elu-0.5,512,32,0.1,0,0.03,0.55,2048,0.2,0.75,0,0.1027,0.1027,0.2897,0.168,0.4027,0.1831,0.5206,0.1913,1956.8,29326,916.45,,,,,,,,
Rees46,GRU4Rec Official,GRU4REC-pytorch params,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,0.1,0,0.03,0,0,0,0,0,0.028,0.028,0.1061,0.0542,0.1732,0.0631,0.2615,0.0691,1492.53,38448,1201.51,-72.74%,-72.74%,-63.38%,-67.73%,-57.00%,-65.56%,-49.76%,-63.86%
Rees46,GRU4REC-pytorch,OOB,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,0.005,0.005,0.0326,0.0136,0.0685,0.0183,0.1316,0.0225,29528.42,1943.38,60.73,-95.17%,-95.17%,-88.74%,-91.89%,-82.98%,-90.01%,-74.72%,-88.21%
Rees46,GRU4REC-pytorch,OOB Correct Eval,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,0.0048,0.0048,0.0324,0.0134,0.0713,0.0185,0.1418,0.0232,29553.78,1941.71,60.68,-95.35%,-95.35%,-88.81%,-92.01%,-82.30%,-89.92%,-72.76%,-87.86%
Rees46,GRU4REC-pytorch,Correct full,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,0.1,0,0.03,N/A,N/A,N/A,N/A,N/A,0.0109,0.0109,0.0522,0.0242,0.0992,0.0303,0.1764,0.0355,30497.64,1881.62,58.8,-89.38%,-89.38%,-81.97%,-85.61%,-75.37%,-83.46%,-66.11%,-81.43%
Rees46,GRU4Rec Official,Torch-GRU4Rec params,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,0.1,0,0.03,0,2048,0.2,0.75,0,0.0968,0.0968,0.2801,0.1607,0.3923,0.1757,0.5112,0.1839,1816.76,31587,987.09,-5.78%,-5.78%,-3.34%,-4.34%,-2.59%,-4.04%,-1.80%,-3.83%
Rees46,Torch-GRU4Rec,OOB,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,0.1,0,0.03,N/A,2048,0.2,0.75,N/A,0.0954,0.0954,0.2774,0.1588,0.3894,0.1737,0.5081,0.182,30689.54,1869.86,58.43,-7.12%,-7.12%,-4.28%,-5.50%,-3.32%,-5.11%,-2.40%,-4.86%
Rees46,GRU4Rec Official,Recpack params,bpr-max,adagrad,FALSE,512,linear,512,32,0.1,0,0.03,0,2048,0,0.75,0,0.0896,0.0896,0.2654,0.1508,0.3787,0.1658,0.501,0.1743,1786.73,32118,1003.68,-12.73%,-12.73%,-8.41%,-10.27%,-5.98%,-9.42%,-3.76%,-8.85%
Rees46,Recpack,OOB,bpr-max,adagrad,FALSE,512,N/A,512,32,0.1,0.1,0.03,N/A,2048,N/A,0.75,N/A,0.0762,0.0762,0.2346,0.1311,0.3405,0.1451,0.4624,0.1536,179834.54,319.1,55.21,-25.79%,-25.79%,-19.03%,-21.99%,-15.45%,-20.73%,-11.17%,-19.71%
Rees46,Recpack,Correct exp,bpr-max,adagrad,FALSE,512,N/A,512,32,0.1,0.1,0.03,N/A,2048,N/A,0.75,N/A,0.0767,0.0767,0.2364,0.1321,0.3417,0.1461,0.4624,0.1544,179486.17,319.72,55.32,-25.30%,-25.30%,-18.41%,-21.37%,-15.16%,-20.21%,-11.17%,-19.25%
Rees46,Recpack,Correct full,bpr-max,adagrad,FALSE,512,N/A,512,32,0.1,0,0.03,N/A,2048,N/A,0.75,N/A,0.0774,0.0774,0.2399,0.1338,0.3458,0.1478,0.4666,0.1562,180173.69,318.5,55.1,-24.63%,-24.63%,-17.21%,-20.38%,-14.15%,-19.26%,-10.37%,-18.34%
Rees46,GRU4Rec Official,Best params,cross-entropy,adagrad,TRUE,0,softmax,512,240,0.45,0,0.065,0,2048,0.5,0,1,0.1108,0.1108,0.3,0.1772,0.4126,0.1922,0.5291,0.2003,367.41,156189,650.91,,,,,,,,
Rees46,GRU4Rec Official,GRU4REC-pytorch params,cross-entropy,adagrad,FALSE,512,softmax,512,240,0.45,0,0.065,0,0,0,0,0,0.034,0.034,0.1283,0.0657,0.2066,0.076,0.3059,0.0828,283.97,202079,842.1,-69.35%,-69.35%,-57.23%,-62.92%,-49.92%,-60.45%,-42.18%,-58.64%
Rees46,GRU4REC-pytorch,OOB,cross-entropy,adagrad,FALSE,512,softmax,512,240,N/A,N/A,0.065,N/A,N/A,N/A,N/A,N/A,0.0578,0.0578,0.0879,0.0698,0.0955,0.0708,0.1028,0.0713,7618.05,7532.51,31.39,-47.82%,-47.82%,-70.70%,-60.62%,-76.85%,-63.16%,-80.57%,-64.40%
Rees46,GRU4REC-pytorch,OOB Correct Eval,cross-entropy,adagrad,FALSE,512,softmax,512,240,N/A,N/A,0.065,N/A,N/A,N/A,N/A,N/A,0.0605,0.0605,0.0945,0.074,0.1022,0.075,0.1093,0.0755,7615.82,7534.72,31.39,-45.38%,-45.38%,-68.49%,-58.26%,-75.23%,-60.98%,-79.34%,-62.31%
Rees46,GRU4REC-pytorch,Correct full,cross-entropy,adagrad,FALSE,512,softmax,512,240,0.45,0,0.065,N/A,N/A,N/A,N/A,N/A,0.0102,0.0102,0.0531,0.0238,0.108,0.0309,0.1994,0.0371,7118.13,8061.53,33.59,-90.78%,-90.78%,-82.31%,-86.58%,-73.82%,-83.93%,-62.31%,-81.47%
Rees46,GRU4Rec Official,Torch-GRU4Rec params,cross-entropy,adagrad,FALSE,512,softmax,512,240,0.45,0,0.065,0,2048,0.5,0,0,0.0825,0.0825,0.2484,0.1401,0.3551,0.1543,0.4716,0.1624,381.71,150339,626.53,-25.58%,-25.58%,-17.21%,-20.94%,-13.94%,-19.73%,-10.87%,-18.94%
Rees46,Torch-GRU4Rec,OOB,cross-entropy,adagrad,FALSE,512,softmax,512,240,0.45,0,0.065,N/A,2048,0.5,0,N/A,0.0814,0.0814,0.2459,0.1383,0.3531,0.1525,0.4688,0.1606,7192.88,7978.05,33.25,-26.58%,-26.58%,-18.05%,-21.96%,-14.42%,-20.63%,-11.40%,-19.83%
Rees46,GRU4Rec Official,GRU4Rec_Tensorflow params,cross-entropy,adagrad,FALSE,512,softmax,512,240,0,0,0.065,0,0,0,0,0,0.0304,0.0304,0.1178,0.0596,0.195,0.0697,0.294,0.0765,280.85,204324,851.46,-72.60%,-72.60%,-60.75%,-66.39%,-52.75%,-63.75%,-44.43%,-61.81%
Rees46,GRU4Rec_Tensorflow,OOB,cross-entropy,adagrad,FALSE,512,softmax,512,50,N/A,0,0.065,N/A,N/A,N/A,N/A,N/A,0.027,0.027,0.0895,0.0482,0.1403,0.0549,0.2066,0.0594,2381.62,24094.84,481.9,-75.62%,-75.62%,-70.17%,-72.81%,-65.99%,-71.45%,-60.95%,-70.33%
Rees46,GRU4Rec_Tensorflow,Correct Exp,cross-entropy,adagrad,FALSE,512,softmax,512,240,N/A,0,0.065,N/A,N/A,N/A,N/A,N/A,0.0251,0.0251,0.1026,0.0507,0.1747,0.0602,0.2698,0.0667,531.14,108037.24,450.16,-77.39%,-77.39%,-65.79%,-71.36%,-57.67%,-68.69%,-49.00%,-66.69%
Rees46,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,512,240,0,0,0.065,0,2048,0,0,0,0.0918,0.0918,0.2639,0.1518,0.3713,0.166,0.486,0.174,306.43,187270,780.44,-17.15%,-17.15%,-12.03%,-14.35%,-10.03%,-13.61%,-8.15%,-13.13%
Rees46,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,512,240,0,0,0.065,0,ALL,N/A,0,N/A,0.1097,0.1097,0.2946,0.1746,0.4029,0.189,0.5152,0.1969,35765.38,1604,6.69,-1.07%,-1.07%,-1.79%,-1.45%,-2.35%,-1.63%,-2.64%,-1.72%
Rees46,KerasGRU4Rec,OOB,cross-entropy,adam,FALSE,0,softmax,100,240,N/A,0.25,0.001,N/A,N/A,N/A,N/A,N/A,0.0805,0.0805,0.2394,0.1354,0.3444,0.1494,0.4608,0.1574,123265.62,465.52,1.94,-27.35%,-27.35%,-20.21%,-23.56%,-16.54%,-22.28%,-12.91%,-21.39%
Rees46,KerasGRU4Rec,Correct exp,cross-entropy,adagrad,FALSE,0,softmax,512,240,N/A,0,0.065,N/A,N/A,N/A,N/A,N/A,0.1027,0.1027,0.2799,0.1648,0.3864,0.179,0.4979,0.1868,130917.81,438.31,1.83,-7.32%,-7.32%,-6.70%,-6.96%,-6.35%,-6.85%,-5.89%,-6.75%
Rees46,KerasGRU4Rec,Correct full,cross-entropy,adagrad,FALSE,0,softmax,512,240,N/A,0,0.065,N/A,N/A,N/A,N/A,N/A,0.1027,0.1027,0.2796,0.1647,0.3859,0.1788,0.4978,0.1866,130987.98,438.08,1.83,-7.34%,-7.34%,-6.80%,-7.06%,-6.48%,-6.96%,-5.92%,-6.84%
Rees46,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,512,softmax,512,240,0.45,0,0.065,0,2048,0,0,0,0.084,0.084,0.2531,0.1427,0.3625,0.1572,0.4812,0.1655,382.6,149988,625.07,-24.21%,-24.21%,-15.63%,-19.47%,-12.16%,-18.19%,-9.05%,-17.39%
Rees46,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,512,softmax,512,240,0.45,0,0.065,0,ALL,N/A,0,N/A,0.1078,0.1078,0.2937,0.1729,0.4034,0.1875,0.5174,0.1955,36064.38,1591,6.63,-2.76%,-2.76%,-2.10%,-2.40%,-2.23%,-2.42%,-2.22%,-2.41%
Rees46,Recpack,OOB,cross-entropy,adagrad,FALSE,512,softmax,512,240,0.45,0.45,0.065,N/A,N/A,N/A,0,N/A,0.074,0.074,0.2292,0.1281,0.3281,0.1412,0.4412,0.149,49262.16,1164.89,55.91,-33.20%,-33.20%,-23.61%,-27.73%,-20.48%,-26.53%,-16.61%,-25.60%
Rees46,Recpack,Correct exp,cross-entropy,adagrad,FALSE,512,softmax,512,240,0.45,0.45,0.065,N/A,N/A,N/A,0,N/A,0.0754,0.0754,0.2304,0.1294,0.3288,0.1424,0.4414,0.1502,49366.03,1162.44,55.79,-31.97%,-31.97%,-23.19%,-26.98%,-20.31%,-25.89%,-16.59%,-25.00%
Rees46,Recpack,Correct full,cross-entropy,adagrad,FALSE,512,softmax,512,240,0.45,0,0.065,N/A,N/A,N/A,0,N/A,0.0754,0.0754,0.2299,0.1289,0.3294,0.1421,0.4386,0.1496,49253.13,1165.11,55.92,-31.99%,-31.99%,-23.36%,-27.27%,-20.18%,-26.07%,-17.11%,-25.29%
Yoochoose,GRU4Rec Official,Best params,bpr-max,adagrad,TRUE,0,linear,448,48,0.25,0,0.075,0.1,2048,0.2,0.5,0,0.1745,0.1745,0.4346,0.2675,0.5664,0.2851,0.6799,0.2931,487.51,44121,919.23,,,,,,,,
Yoochoose,GRU4Rec Official,GRU4REC-pytorch params,bpr-max,adagrad,FALSE,448,linear,448,48,0.25,0,0.075,0,0,0,0,0,0.0988,0.0988,0.2613,0.1554,0.362,0.1688,0.4655,0.176,362.75,59297,1235.4,-43.42%,-43.42%,-39.88%,-41.92%,-36.09%,-40.80%,-31.53%,-39.96%
Yoochoose,GRU4REC-pytorch,OOB,bpr-max,adagrad,FALSE,448,linear,448,48,N/A,N/A,0.075,N/A,N/A,N/A,N/A,N/A,0.0002,0.0002,0.0012,0.0005,0.0031,0.0007,0.0087,0.0011,1854.78,11597.27,241.61,-99.91%,-99.91%,-99.72%,-99.83%,-99.46%,-99.76%,-98.72%,-99.63%
Yoochoose,GRU4REC-pytorch,OOB Correct Eval,bpr-max,adagrad,FALSE,448,linear,448,48,N/A,N/A,0.075,N/A,N/A,N/A,N/A,N/A,0.0009,0.0009,0.0104,0.0036,0.0409,0.0074,0.1066,0.0118,1857.1,11582.5,241.3,-99.48%,-99.48%,-97.62%,-98.66%,-92.78%,-97.40%,-84.32%,-95.98%
Yoochoose,GRU4REC-pytorch,Correct full,bpr-max,adagrad,FALSE,448,linear,448,48,0.25,0,0.075,N/A,N/A,N/A,N/A,N/A,0.0108,0.0108,0.0603,0.0269,0.1112,0.0335,0.1923,0.0391,2123.4,10130.73,211.06,-93.80%,-93.80%,-86.13%,-89.95%,-80.36%,-88.25%,-71.72%,-86.67%
Yoochoose,GRU4Rec Official,Torch-GRU4Rec params,bpr-max,adagrad,FALSE,448,linear,448,48,0.25,0,0.075,0,2048,0.2,0.5,0,0.1748,0.1748,0.4298,0.2662,0.5603,0.2837,0.6769,0.2919,461.22,46636,971.64,0.14%,0.14%,-1.09%,-0.49%,-1.07%,-0.48%,-0.45%,-0.39%
Yoochoose,Torch-GRU4Rec,OOB,bpr-max,adagrad,FALSE,448,linear,448,48,0.25,0,0.075,N/A,2048,0.2,0.5,N/A,0.1755,0.1755,0.4271,0.2654,0.556,0.2826,0.6711,0.2907,2164.21,9939.82,207.09,0.53%,0.53%,-1.72%,-0.77%,-1.84%,-0.89%,-1.30%,-0.82%
Yoochoose,GRU4Rec Official,Recpack params,bpr-max,adagrad,FALSE,448,linear,448,48,0.25,0,0.075,0,2048,0,0.5,0,0.1753,0.1753,0.4304,0.2666,0.5578,0.2837,0.6749,0.2919,460.73,46686,972.67,0.43%,0.43%,-0.96%,-0.32%,-1.51%,-0.50%,-0.74%,-0.41%
Yoochoose,Recpack,OOB,bpr-max,adagrad,FALSE,448,N/A,448,48,0.25,0.25,0.075,N/A,2048,N/A,0.5,N/A,0.15,0.15,0.3878,0.2358,0.5182,0.2532,0.643,0.2619,21269.54,1011.29,131.16,-14.04%,-14.04%,-10.77%,-11.85%,-8.51%,-11.20%,-5.44%,-10.63%
Yoochoose,Recpack,Correct exp,bpr-max,adagrad,FALSE,448,N/A,448,48,0.25,0.25,0.075,N/A,2048,N/A,0.5,N/A,0.1571,0.1571,0.3984,0.2443,0.526,0.2613,0.6464,0.2697,21382.12,1005.96,130.47,-9.98%,-9.98%,-8.32%,-8.68%,-7.13%,-8.35%,-4.93%,-7.97%
Yoochoose,Recpack,Correct full,bpr-max,adagrad,FALSE,448,N/A,448,48,0.25,0,0.075,N/A,2048,N/A,0.5,N/A,0.1581,0.1581,0.3967,0.2437,0.5239,0.2607,0.6433,0.2691,21137.61,1017.6,131.98,-9.43%,-9.43%,-8.71%,-8.88%,-7.50%,-8.56%,-5.39%,-8.19%
Yoochoose,GRU4Rec Official,Best params,cross-entropy,adagrad,TRUE,0,softmax,480,48,0,0.2,0.07,0,2048,0.2,0,1,0.1797,0.1797,0.4457,0.2757,0.5698,0.2924,0.6804,0.3002,451.75,47613,991.99,,,,,,,,
Yoochoose,GRU4Rec Official,GRU4REC-pytorch params,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,0,0,0,0,0,0.0717,0.0717,0.2386,0.1301,0.3478,0.1446,0.4583,0.1523,350.38,61390,1279.01,-60.10%,-60.10%,-46.48%,-52.83%,-38.96%,-50.54%,-32.64%,-49.27%
Yoochoose,GRU4REC-pytorch,OOB,cross-entropy,adagrad,FALSE,480,softmax,480,48,N/A,N/A,0.07,N/A,N/A,N/A,N/A,N/A,0.0933,0.0933,0.109,0.0998,0.1129,0.1003,0.1169,0.1006,1948.18,11040.99,230.02,-48.10%,-48.10%,-75.54%,-63.82%,-80.19%,-65.70%,-82.82%,-66.50%
Yoochoose,GRU4REC-pytorch,OOB Correct Eval,cross-entropy,adagrad,FALSE,480,softmax,480,48,N/A,N/A,0.07,N/A,N/A,N/A,N/A,N/A,0.0951,0.0951,0.1134,0.1029,0.1173,0.1034,0.1212,0.1037,1944.45,11062.17,230.46,-47.07%,-47.07%,-74.56%,-62.69%,-79.42%,-64.64%,-82.19%,-65.46%
Yoochoose,GRU4REC-pytorch,Correct full,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,N/A,N/A,N/A,N/A,N/A,0.0493,0.0493,0.1997,0.1001,0.3052,0.1141,0.4271,0.1227,1933.25,11126.37,231.8,-72.58%,-72.58%,-55.19%,-63.68%,-46.44%,-60.98%,-37.22%,-59.14%
Yoochoose,GRU4Rec Official,Torch-GRU4Rec params,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,0,2048,0.2,0,0,0.171,0.171,0.4301,0.2633,0.5571,0.2803,0.669,0.2882,439.19,48975,1020.37,-4.81%,-4.81%,-3.50%,-4.52%,-2.23%,-4.14%,-1.67%,-4.00%
Yoochoose,Torch-GRU4Rec,OOB,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,N/A,2048,0.2,0,N/A,0.1686,0.1686,0.4268,0.2598,0.5528,0.2768,0.6671,0.2847,2082.11,10330.85,215.24,-6.14%,-6.14%,-4.25%,-5.77%,-2.99%,-5.35%,-1.95%,-5.14%
Yoochoose,GRU4Rec Official,GRU4Rec_Tensorflow params,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,0,0,0,0,0,0.0715,0.0715,0.2325,0.1269,0.3431,0.1416,0.4555,0.1495,352.48,61023,1271.36,-60.19%,-60.19%,-47.85%,-53.96%,-39.79%,-51.56%,-33.05%,-50.21%
